id,station,latitude,longitude
90,Cambridge Heath,51.5320596731624,-0.0572032006374023
91,Camden Road,51.5418510088565,-0.139203111401044
92,Camden Town,51.5399691216041,-0.142452379876489
93,Canada Water,51.4981683312509,-0.0508071208490972
94,Canary Wharf,51.5035783751289,-0.0194668401393244
95,Canning Town,51.5138703035051,0.0083056327487644
96,Cannon Street,51.5113619437019,-0.0902505264150348
97,Canonbury,51.5481882362124,-0.0925741953281791
98,Canons Park,51.6076500902854,-0.294391591494146
99,Carpenders Park,51.6281860887584,-0.385829315127033
100,Carshalton,51.3684260954417,-0.166398326395598
101,Carshalton Beeches,51.3573865653231,-0.169496324469362
102,Castle Bar Park,51.5229731248863,-0.331504069938095
103,Caterham,51.282162696229,-0.0786072982130978
104,Catford,51.4442648711703,-0.0265384985567016
105,Catford Bridge,51.44469458702,-0.0248218759100757
106,Centrale,51.3757673000302,-0.103888103221632
107,Chadwell Heath,51.5680470919696,0.12890111256818
108,Chafford Hundred,51.4855549696471,0.287475705548031
109,Chalfont and Latimer,51.6679065638921,-0.561067758943182
110,Chalk Farm,51.5441488373466,-0.15373306950608
111,Chancery Lane,51.5184938358199,-0.111962026762417
112,Charing Cross,51.5083584281862,-0.124802937233044
113,Charlton,51.4868350415972,0.030941644861415
114,Cheam,51.3554598941858,-0.214211280927971
115,Chelsfield,51.3562647640171,0.108984120416923
116,Chesham,51.7053790233013,-0.611429635297931
117,Cheshunt,51.7028732783418,-0.0238874154296613
118,Chessington North,51.3642429522672,-0.300476123597851
119,Chessington South,51.3567040295492,-0.307089015193887
120,Chigwell,51.6178579997418,0.0761792153523028
121,Chingford,51.6332533918814,0.00951432553087975
122,Chipstead,51.3092747067641,-0.169445867834642
123,Chislehurst,51.4055985053297,0.057491821647749
124,Chiswick,51.4807810596151,-0.267013317708247
125,Chiswick Park,51.4943702779427,-0.267736917992298
126,Chorleywood,51.6542650809277,-0.518333910857157
127,Church Street,51.3737063933963,-0.104346828268119
128,City Thameslink,51.5139349006601,-0.103618448552803
129,Clapham Common,51.4618034458079,-0.138314901387923
130,Clapham High Street,51.4654692992225,-0.132464501562701
131,Clapham Junction,51.4643665077894,-0.170315000544166
132,Clapham North,51.4649160047291,-0.129910061914643
133,Clapham South,51.452676249205,-0.147984068330292
134,Clapton,51.5615689964249,-0.0574894582650098
135,Clock House,51.4085404968969,-0.0407020924973615
136,Cockfosters,51.6520242362042,-0.149916709772051
137,Colindale,51.5952301089407,-0.250287540071135
138,Colliers Wood,51.4187588995297,-0.177415098049605
139,Coombe Lane,51.3597892144862,-0.059531571121806
140,Coulsdon South,51.3158007205295,-0.137903089182717
141,Coulsdon Town,51.3224527354539,-0.134347056240208
142,Covent Garden,51.5127600335322,-0.124506893736966
143,Crayford,51.4485470522551,0.178502718160404
144,Crews Hill,51.6844744388102,-0.106844100099287
145,Cricklewood,51.558422323062,-0.212547931476767
146,Crofton Park,51.4551792350413,-0.0365465817645417
147,Crossharbour and London Arena,51.4958399574051,-0.0149328130902497
148,Crouch Hill,51.5713269083676,-0.117133284097602
149,Croxley,51.6470045601112,-0.441603786877926
150,Crystal Palace,51.4181702351678,-0.0726072324587528
151,Custom House,51.5096221016304,0.0257725103052806
152,Cutty Sark for Maritime Greenwich,51.4819444532296,-0.0105818667236087
153,Cyprus,51.508526688501,0.0638407560748753
154,Dagenham Dock,51.5262874370821,0.145031015288525
155,Dagenham East,51.5441876132896,0.165833433309167
156,Dagenham Heathway,51.5412120355014,0.147679721474003
157,Dalston Junction,51.5460935954785,-0.0749942044988175
158,Dalston Kingsland,51.5486676960656,-0.0762269216179968
159,Debden,51.6454921415259,0.0838014752563246
160,Denmark Hill,51.4682004929251,-0.090987869102917
161,Deptford,51.4788900433176,-0.0261963195339123
162,Deptford Bridge,51.4744767383948,-0.0220524287742926
163,Devons Road,51.522258440743,-0.0180077541751607
164,Dollis Hill,51.5518502022743,-0.238797758364758
165,Drayton Green,51.5160041380154,-0.3296112533787
166,Drayton Park,51.5530781363832,-0.105770199103468
167,Dundonald Road,51.4173978091245,-0.20752711020077
168,Ealing Broadway,51.5148614827794,-0.302010376133626
169,Ealing Common,51.5102481879337,-0.287151413105322
170,Earls Court,51.4913563561976,-0.194313807095143
171,Earlsfield,51.44223850305,-0.187272686543178
172,East Acton,51.5162630104536,-0.248112221281314
173,East Croydon,51.3757159539063,-0.0918634955366216
174,East Dulwich,51.4616254536404,-0.0804365711324548
175,East Finchley,51.5873322776344,-0.16474388444672
176,East Ham,51.5392462519437,0.0515162934805762
177,East India,51.5086840050616,-0.00237033154899331
178,East Putney,51.4588794403538,-0.210998231595942
179,Eastcote,51.5765511761409,-0.396823290149802
180,Eden Park,51.390796061855,-0.0266697155140848
181,Edgware,51.6142291745151,-0.275093662061706
182,Edgware Road,51.5206450845361,-0.17053954989974
183,Edgware Road,51.5199977710934,-0.167668252651179
184,Edmonton Green,51.6251156043645,-0.0616390192351294
185,Elephant and Castle,51.4958492200292,-0.100738714256282
186,Elm Park,51.5491249099079,0.197252684283427
187,Elmers End,51.3982910301625,-0.0494638321399584
188,Elmstead Woods,51.4170807066345,0.0442293428430611
189,Elstree and Borehamwood,51.6528751208461,-0.279828614916371
190,Eltham,51.4556623092267,0.0523293078984464
191,Elverson Road,51.4683721650385,-0.016816376196184
192,Embankment,51.5073122969468,-0.12236733566212
193,Emerson Park,51.5691152721953,0.220222937199811
194,Enfield Chase,51.6527219654472,-0.0907042050119525
195,Enfield Lock,51.6708460782566,-0.0283910700615031
196,Enfield Town,51.6519699451537,-0.0793299217281958
197,Epping,51.693686354978,0.113825553514212
198,Epsom Downs,51.3236590493812,-0.238970223459662
